col1,col2,col3,col4,col5
0.01062884,-1.946667,-0.947751,0.8439593,0.6190036
-1.259545,-1.608803,1.107961,-0.6358559,1.821577
-1.399351,0.8815948,-0.455552,-0.3202582,-0.3621999
0.1580885,0.07420313,-2.025897,0.503074,0.8725629
1.105321,0.6296837,1.451007,0.5181309,-0.6505518
-0.2399491,-0.1509975,-1.00249,0.2206573,0.8233857
-1.788482,-2.153708,-0.6590114,-0.2734869,-1.373976
0.2797259,0.1098523,-0.218448,-0.08899177,-1.525396
-2.034122,-0.591587,-0.2809188,-1.973013,0.4698695
-0.8591607,-1.830473,-2.832306,-0.194276,-0.3695834
